Have you developed a game?,What region are you based?,Where are you located?,What platforms do you build for?,What is the primary engine you use in developing games?,What category of games do you mostly create?,Which of these best describe you?,How long have you been operating?,How many employees do you have?,What percentage of your employees reside outside your main country of operation?,What is the ratio of male to female in your organisation?,"To date, how many games do you have published?",Which of these core competences do you have in your teams?,What was your 2022 revenue?,What are your sources of revenue?,What percentage of your revenue comes from outside your country of operation?,What's your gender?,What's your age group?,How long have you been making games?,Is game development a full time occupation for you?,"If you work at a game studio, where is the studio located?","To date, how many games do you have published?",Which of these core competences do you possess?,Do you earn any income from making games?,What is your main source of income?,What percentage of your income comes from outside your country of residence?,Have you ever raised external funding?,"If yes, from what source? Select all that apply.",How much external funding have you raised?,Have you applied for or participated in any accelerator or support programme?,Were you successful?,Please list the ones you applied to below even if you were not successful.,Did you or your studio attend any international gaming events?,"If yes, please name some of the gaming events you've attended",How important are the following to the development of the games industry in your country? [Power supply],How important are the following to the development of the games industry in your country? [High speed internet],How important are the following to the development of the games industry in your country? [Affordable internet],How important are the following to the development of the games industry in your country? [Training opportunities],How important are the following to the development of the games industry in your country? [Community events],How important are the following to the development of the games industry in your country? [Co-working space],How important are the following to the development of the games industry in your country? [Industry associations],How important are the following to the development of the games industry in your country? [Mobile network operators (like MTN or Safaricom)],How important are the following to the development of the games industry in your country? [Alternative payment methods (like mobile money)],How important are the following to the development of the games industry in your country? [Government support],How would you rate the current state of these infrastructure in your country? [Power supply],How would you rate the current state of these infrastructure in your country? [High speed internet],How would you rate the current state of these infrastructure in your country? [Affordable internet],How would you rate the current state of these infrastructure in your country? [Training opportunities],How would you rate the current state of these infrastructure in your country? [Community events],How would you rate the current state of these infrastructure in your country? [Co-working space],How would you rate the current state of these infrastructure in your country? [Industry associations],How would you rate the current state of these infrastructure in your country? [Mobile network operators (like MTN or Safaricom)],How would you rate the current state of these infrastructure in your country? [Alternative payment methods (like mobile money)],How would you rate the current state of these infrastructure in your country? [Government support],What is your outlook for the African games industry in the next 3 years?,What type of support does the industry need to succeed?,"Please leave us a comment, this can be something specific to your market that we have not captured.", , , , , , 
"Yes, I/we have developed game(s)",West Africa,"Lagos, Nigeria","Mobile, PC",Unity,"Entertainment Games, Kids Games",Employee at a games studio,,,,,,,,,,Male,Below 18,1 - 2 years,"Yes, I work as a full time game developer at a game studio","Lagos, Nigeria",1 - 5,Development/Programming,"Yes, I do",Salary from my job as a game developer,"Zero, I earn all my income from my country of residence",No,,,No,No,,"Yes, I have",Africa Games Week,Critical,Very Important,Critical,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Critical,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Good,Poor,Poor,3,It needs more awareness and funding from the government and also more communities and events need to be created,,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Accra, Ghana",Mobile,Unity,Entertainment Games,Employee at a games studio,,,,,,,,,,Female,25 - 34,2 - 5 years,"No, I develop games in my spare time","Lagos, Nigeria",1 - 5,"Game Design, UI/UX","No, I don't",Salary from my job as a game developer,"Zero, I earn all my income from my country of residence",Not applicable,,,Yes,,,"No, I haven't",,Critical,Critical,Critical,Critical,Critical,Critical,Critical,Critical,Critical,Critical,Good,Good,Good,Poor,Poor,Good,Poor,Very Good,Very Good,Really Poor,4,"Training programs, access to resources (internet, laptops, learning materials) and collaboration for foreign game companies (to see how they do things).",N/A,,,,,,
"Yes, I/we have developed game(s)",North Africa,Tunis,"Mobile, PC, Console, Vr and browser",Unity,"Entertainment Games, Adver Games, Corporate/Training Games",Game studio,Over 10 years,20 - 50,5 - 25%,"Male 80%, Female 20%",10 - 20,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Audio, QA, Localization, AR/VR",Over $1m,Revenue from games,75 - 100%,,,,,,,,,,,Yes,"Government, Investors, Grant funding from international agency",$500k - $1m,No,No,,"Yes, I have",All of them,Unimportant,Critical,Very Important,Critical,Important,Unimportant,Important,Very Important,Critical,Unimportant,Good,Good,Good,Poor,Poor,Good,Really Poor,Poor,Really Poor,Really Poor,4,Funding and business training ,Good luck and we are proud to have you representing all of us ,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Lagos, Nigeria",Mobile,Unity,Entertainment Games,Employee at a games studio,,,,,,,,,,Male,25 - 34,1 - 2 years,"Yes, I work as a full time game developer at a game studio","Lagos, Nigeria ",None,"Development/Programming, AR/VR","Yes, I do",Salary from my job as a game developer,"Zero, I earn all my income from my country of residence",No,,,No,No,,"No, I haven't",,Critical,Very Important,Very Important,Critical,Important,Important,Important,Important,Important,Important,Poor,Good,Good,Poor,Good,Good,Poor,Good,Good,Poor,4,The African gaming industry does needs support in education to continuously train new talents and existing developers. Also access to medium/high-end laptops and computers for development is another area that needs support.,,,,,,,
"Yes, I/we are developing a game",West Africa,"Lagos, Nigeria",VR,Unity,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,25 - 34,5 - 10 years,i work as a freelance game developer ,,1 - 5,"Development/Programming, Game Design, AR/VR","Yes, I do",Work for hire as a freelancer,75 - 100%,No,,,No,,,"No, I haven't",,Very Important,Very Important,Important,Important,Important,Important,Important,Unimportant,Unimportant,Unimportant,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Really Poor,3,idk. success stories. so maybe proper publishing. ,,,,,,,
"Yes, I/we are developing a game",West Africa,"Lagos, Nigeria",PC,Unity,"Entertainment Games, Serious/Educational Games",Indie/solo developer,,,,,,,,,,Male,18 - 24,2 - 5 years,"No, I develop games in my spare time",Lagos Nigeria ,1 - 5,"Development/Programming, UI/UX, Audio, AR/VR","Yes, I do",Work for hire as a freelancer,75 - 100%,Yes,Investors,Less than $10K,No,Yes,,"No, I haven't",,Very Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Important,Important,Poor,Poor,Good,Poor,Poor,Good,Poor,Good,Good,Really Poor,4,High speed internet & community support ,PC games ,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Dakar, Senegal","Mobile, PC",Godot,"Entertainment Games, Kids Games",Indie/solo developer,,,,,,,,,,Male,25 - 34,2 - 5 years,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Game Design, Narrative, Animation","No, I don't",R&D Assistant Quality Product for a food company,"Zero, I earn all my income from my country of residence",No,,,Yes,No,,"No, I haven't",,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Good,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,4,Formation-events in french,,,,,,,
"Yes, I/we are developing a game",West Africa,"Ile-Ife, Nigeria","PC, Console",Unreal,Entertainment Games,Employee at a games studio,,,,,,,,,,Male,18 - 24,1 - 2 years,"Yes, I work as a full time game developer at a game studio","Remotely,Nigeria",None,Development/Programming,"Yes, I do",Salary from my job as a game developer,"Zero, I earn all my income from my country of residence",No,,,No,,,"Yes, I have",Africa Games Week,Critical,Critical,Critical,Critical,Critical,Critical,Critical,Critical,Critical,Critical,Poor,Really Poor,Really Poor,Poor,Poor,Poor,Poor,Really Poor,Poor,Really Poor,3,More competition ,,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Abuja, Nigeria","Mobile, PC",Unity,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,25 - 34,5 - 10 years,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Game Design, UI/UX, Vfx, AR/VR","No, I don't",My main job ,"Zero, I earn all my income from my country of residence",No,,,No,,,"No, I haven't",,Critical,Critical,Very Important,Very Important,Important,Unimportant,Important,Very Important,Critical,Critical,Really Poor,Poor,Poor,Really Poor,Really Poor,Poor,Really Poor,Good,Good,Really Poor,3,"Stable electricity and better internet facilities, also investments from major players into developing talent in this part of the world",,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Bamenda, Cameroon","Mobile, PC",Unity,Entertainment Games,Employee at a games studio,,,,,,,,,,Male,25 - 34,2 - 5 years,"Yes, I am a full time independent game developer",Nigeria,1 - 5,"Development/Programming, Art (2D/3D, Game Design, Narrative","Yes, I do",Salary from my job as a game developer,50 - 75%,Yes,Investors,Less than $10K,No,No,,"No, I haven't",,Critical,Critical,Critical,Very Important,Important,Important,Very Important,Critical,Critical,Very Important,Good,Really Poor,Good,Poor,Really Poor,Poor,Really Poor,Good,Good,Really Poor,2,"Infrastructures, training facilities, promotion of, and acceptance of games into a part of our culture, start small, can't achieve triple AAA games from the get go, connect out of Africa to learn more, use media right. Don't spend all day on TikTok and spend more time researching how the world is advancing and try to keep up. (Personal thoughts in the end there). ",,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Lagos, Nigeria",Mobile,Unity,Entertainment Games,Hobby/Part time game developer,,,,,,,,,,Male,35 - 44,Over 10 years,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX, QA, AR/VR","No, I don't",My non game dev full time job,"Zero, I earn all my income from my country of residence",Yes,Investors,Less than $10K,No,,,"Yes, I have",,Critical,Very Important,Important,Very Important,Very Important,Very Important,Critical,Unimportant,Important,Very Important,Really Poor,Good,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Really Poor,3,Access to training and publishing infrastructure,,,,,,,
"Yes, I/we have developed game(s)",East Africa,"Nairobi, Kenya",Mobile,Unity,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,18 - 24,2 - 5 years,"No, I develop games in my spare time","Victoria Island, Nigeria",1 - 5,Development/Programming,"Yes, I do",Salary from my job as a game developer,75 - 100%,No,,,No,,,"No, I haven't",,Very Important,Important,Important,Important,Important,Unimportant,Important,Important,Important,Unimportant,Very Good,Very Good,Very Good,Very Good,Good,Good,Poor,Very Good,Very Good,Poor,4,Acces to resources and internet services in most countries in africa is quite poor which limits the knowledge of people into the opportunities available in this industry,,,,,,,
"Yes, I/we have developed game(s)",East Africa,"Nakuru, Kenya","Mobile, PC, Console",Unity,"Entertainment Games, Serious/Educational Games, Kids Games, Corporate/Training Games",Freelancer on game projects,,,,,,,,,,Male,25 - 34,5 - 10 years,"Yes, I am a full time independent game developer",,50+,"Development/Programming, Game Design","Yes, I do",Building third party games,75 - 100%,No,,,No,,,"Yes, I have",GDC,Critical,Important,Important,Important,Very Important,Unimportant,Very Important,Very Important,Very Important,Important,Good,Good,Good,Really Poor,Poor,Good,Good,Very Good,Very Good,Really Poor,4,"Western countries should involve Africans in the technological advancements and trainings. Also, more funding opportunities should be introduced. ",,,,,,,
"Yes, I/we have developed game(s)",East Africa,"Nairobi, Kenya",Mobile,Godot,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,35 - 44,5 - 10 years,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Game Design","No, I don't","Building third party games, Work for hire as a freelancer","Zero, I earn all my income from my country of residence",No,,,Yes,No,,"No, I haven't",,Critical,Critical,Critical,Very Important,Very Important,Unimportant,Important,Important,Very Important,Very Important,Good,Very Good,Good,Good,Poor,Poor,Poor,Poor,Good,Really Poor,3,exposure and marketing ,Let's make Africa the next big sourse of games! ,,,,,,
"No, I/we have not yet developed a game",East Africa,"Nairobi, Kenya",PC,Unity,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,25 - 34,Less than a year,"No, I develop games in my spare time",,None,"Development/Programming, Game Design","No, I don't",Work for hire as a freelancer,"Zero, I earn all my income from my country of residence",Not applicable,,,No,,,"No, I haven't",,Important,Important,Very Important,Very Important,Very Important,Important,Unimportant,Very Important,Important,Unimportant,Good,Very Good,Very Good,Really Poor,Good,Poor,Poor,Very Good,Good,Really Poor,1,Building and marketing the industry as a viable business and learning resource,,,,,,,
